Name,helmet,cape,amulet,weapon,body,sheild,Equip7,legs,Equip9,gloves,boots,Equip12,Loc_x,Loc_y,Anim_id,Overall,Attack,Defence,Strength,Hitpoints,Ranged,Prayer,Magic,Cooking,Woodcutting,Fletching,Fishing,Firemaking,Crafting,Smithing,Mining,Herblore,Agility,Thieving,Slayer,Farming,Runecrafting,Hunter,Construction,Location
yuliana25,1139,-1,-1,1327,-1,1195,-1,-1,-1,-1,-1,-1,3222,3218,-1,222,49,47,49,48,1,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,lumbridge
JHOAN 16,-1,-1,-1,853,-1,-1,-1,-1,-1,-1,-1,-1,3230,3218,-1,304,20,1,27,42,52,22,1,21,36,1,30,40,1,1,1,1,1,1,1,1,1,1,1,lumbridge
coffeeice,-1,-1,-1,1355,-1,-1,-1,-1,-1,-1,1061,-1,3215,3218,-1,245,22,2,4,17,1,18,1,1,74,1,15,77,1,1,2,1,1,1,1,1,1,1,1,lumbridge
marlisma,1949,1019,-1,1329,1121,1173,-1,1085,-1,1063,1061,-1,3205,3228,-1,323,40,39,40,40,29,30,2,27,30,1,1,30,1,1,4,1,1,1,1,1,1,1,1,lumbridge
xMACCOOKIEx,1169,4413,1478,853,1129,-1,-1,1099,-1,1065,9005,-1,3222,3219,-1,208,12,10,1,39,49,9,1,21,1,1,1,1,3,1,50,1,1,1,1,1,1,1,1,lumbridge
The Knowing1,19699,13679,21314,21354,1127,3488,-1,1079,-1,2912,1061,-1,3219,3218,-1,462,59,57,60,58,1,47,18,25,15,1,22,20,25,25,21,1,1,1,1,1,1,1,1,lumbridge
elmaita2,579,-1,-1,1381,1035,-1,-1,1033,-1,-1,-1,-1,3206,3208,-1,646,50,51,53,58,60,16,58,15,44,1,1,47,31,1,50,1,45,1,1,1,59,1,1,lumbridge
Central,-1,-1,-1,1333,-1,-1,-1,-1,-1,-1,9005,-1,3221,3219,-1,549,41,44,48,44,40,45,50,24,31,55,20,35,20,29,15,1,1,1,1,1,1,1,1,lumbridge
Riftren,1169,-1,1478,9181,1133,-1,-1,1097,-1,1063,1061,-1,3215,3217,-1,340,43,30,40,39,41,14,10,32,21,6,29,1,7,1,1,1,10,1,9,1,1,1,1,lumbridge
tri-x400,1040,4345,1731,23332,1113,2667,-1,2663,-1,1063,1061,-1,3228,3218,-1,520,40,40,39,41,30,29,33,44,41,1,40,41,9,38,41,1,1,1,1,1,6,1,1,lumbridge
EurythmicKin,1949,-1,-1,1275,1757,-1,-1,-1,-1,-1,-1,-1,3222,3220,-1,665,44,45,45,45,40,24,44,44,62,1,44,64,31,31,51,1,20,5,1,1,20,1,1,lumbridge
FknLizrdKing,1159,1019,1725,1371,1115,1181,-1,1071,-1,1059,3061,-1,3214,3226,-1,257,30,27,28,29,1,23,3,22,36,1,9,34,1,1,4,1,1,1,1,1,1,1,1,lumbridge
Assmonch69,1163,-1,1731,1333,1123,1201,-1,1073,-1,3060,-1,-1,3220,3219,-1,0,45,44,1,1,1,1,1,1,1,1,1,1,1,30,35,1,1,1,1,1,1,1,1,lumbridge
Just 4 A Day,10828,6568,6585,1359,3140,12954,-1,4087,-1,11124,11840,-1,3220,3218,-1,986,71,63,70,72,73,47,45,30,55,33,42,39,45,36,33,19,47,36,64,16,1,14,35,lumbridge
link7507,-1,-1,-1,1333,-1,2629,-1,-1,-1,-1,-1,-1,3216,3218,-1,620,49,45,54,49,30,37,34,35,66,1,27,46,31,59,45,1,1,1,1,1,5,1,1,lumbridge
Scug,7321,6570,3855,-1,10551,-1,-1,10555,-1,-1,23389,-1,3221,3219,-1,1744,75,75,81,84,86,70,85,72,78,76,81,63,84,65,67,60,78,83,70,70,89,80,72,lumbridge
Superllamah,20708,-1,3855,1387,20704,-1,-1,20706,-1,-1,-1,-1,3234,3227,-1,559,1,1,1,1,1,1,1,1,58,35,1,85,1,1,1,25,55,30,10,5,10,9,1,lumbridge
This is Crod,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3221,3217,-1,247,33,22,36,32,1,31,1,5,27,1,1,31,1,1,15,1,1,2,1,1,1,1,1,lumbridge
IronTreesus,579,13121,589,1387,75,13660,-1,19693,-1,1059,9005,-1,3223,3216,-1,521,40,5,30,33,1,10,43,13,50,29,26,67,24,29,15,3,29,42,9,4,9,9,1,lumbridge
Shalom Judio,-1,-1,1478,1275,-1,-1,-1,-1,-1,-1,-1,-1,3206,3208,-1,646,60,60,67,64,57,44,42,39,31,1,31,30,9,36,67,1,1,1,1,1,1,1,1,lumbridge
TurdSmugler,1161,1019,552,1331,1123,1199,-1,1091,-1,7595,1061,-1,3226,3217,-1,454,33,34,33,35,19,18,38,40,57,1,41,29,9,29,30,1,1,1,1,1,1,1,1,lumbridge
Bottomfeed3r,1161,1019,1478,1331,1123,1199,-1,1073,-1,1059,1061,-1,3221,3213,-1,280,32,32,34,28,1,30,13,8,13,1,1,1,18,12,17,10,13,11,1,1,1,1,1,lumbridge
Sluue,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3221,3219,-1,156,4,2,2,11,2,2,57,21,12,1,2,26,3,1,2,1,1,1,1,1,1,1,1,lumbridge
DerekAllison,1017,4413,1727,12297,577,1540,-1,1033,-1,1059,1061,-1,3221,3218,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,lumbridge
Galerikan,1169,1019,1478,851,1135,-1,-1,1099,-1,-1,-1,-1,3222,3217,-1,1185,71,70,70,72,62,48,66,55,58,45,43,74,46,36,50,27,47,39,55,33,38,58,22,lumbridge
HC Slayzerin,-1,1021,1478,1387,-1,13660,-1,1099,-1,1065,9005,-1,3221,3219,-1,767,40,40,40,50,47,39,60,51,60,1,56,60,46,58,65,1,1,1,18,14,17,1,1,lumbridge
SlimJimTin,-1,-1,-1,1349,6180,13660,-1,-1,-1,-1,1061,-1,3221,3219,-1,207,10,10,11,14,1,4,1,52,13,1,51,16,1,2,12,1,1,1,1,1,1,1,1,lumbridge
Da_Dumples,1169,-1,1478,849,6322,-1,-1,1095,-1,1059,-1,-1,3224,3218,-1,500,43,42,45,38,33,33,36,20,24,5,7,20,28,1,20,20,21,23,20,10,1,9,1,lumbridge
TioAceite,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3233,3218,-1,392,30,20,26,27,1,21,1,45,41,1,45,30,31,34,31,1,1,1,1,1,1,1,1,lumbridge
harrydrake2,1163,1021,1731,1265,1121,1201,-1,1079,-1,1065,4131,-1,3221,3228,-1,489,40,40,40,41,40,12,39,30,36,1,3,30,1,1,30,1,1,1,9,1,1,90,1,lumbridge
Lastguard,1169,-1,1731,1269,1129,-1,-1,1095,-1,1063,1061,-1,3221,3218,-1,440,30,24,30,43,40,16,55,50,6,1,6,50,36,33,12,1,1,1,1,1,1,1,1,lumbridge
AH Wolfy,12466,4373,10364,23330,1113,12468,-1,12462,-1,1065,9005,-1,3222,3217,-1,475,50,50,50,51,40,33,34,21,42,1,18,46,9,9,12,1,1,1,1,1,2,1,1,lumbridge
Evii Aragon,1163,6568,11976,-1,1127,1201,-1,1079,-1,11126,4131,-1,3221,3219,-1,644,60,40,57,56,50,20,42,16,50,9,7,51,33,36,23,3,31,16,40,1,1,1,1,lumbridge
Os Rules,1169,4363,1725,853,1135,-1,-1,1099,-1,-1,1061,-1,3206,3208,-1,1706,84,80,92,93,99,73,94,82,70,86,66,80,61,63,63,66,70,60,82,56,63,67,56,lumbridge
HonokaChan,-1,-1,-1,1351,-1,-1,-1,-1,-1,1059,1061,-1,3231,3203,-1,1010,70,60,81,75,67,56,60,70,63,27,54,52,51,45,43,6,33,40,53,1,1,1,1,lumbridge
Captcutter92,2619,4343,1478,1333,1113,2621,-1,2617,-1,1059,11019,-1,3222,3219,-1,511,43,43,49,46,20,28,21,45,38,1,38,34,14,33,37,1,1,1,1,1,14,1,1,lumbridge
upton563,-1,-1,-1,1363,1109,1175,-1,-1,-1,-1,1061,-1,3221,3217,-1,324,10,20,12,28,3,6,41,44,23,1,41,14,4,33,36,1,1,1,1,1,1,1,1,lumbridge
Evil-Zero,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3223,3219,-1,2087,99,99,99,99,84,87,91,99,99,99,97,99,88,95,81,80,84,99,92,91,65,81,80,lumbridge
rkosmo0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3221,3221,-1,684,64,60,63,65,65,43,49,23,37,18,25,11,34,5,22,1,33,24,20,3,1,5,13,lumbridge
l l ll l ll,4952,10499,1704,21902,10370,23991,-1,4974,-1,7462,19933,-1,3233,3225,-1,1524,75,71,76,81,86,70,77,70,62,77,73,60,77,65,60,53,72,58,66,53,45,47,50,lumbridge
Porsallu,579,-1,1727,1381,577,-1,-1,1011,-1,-1,-1,-1,3222,3217,-1,117,15,14,15,17,1,1,1,1,1,1,1,1,1,1,38,1,1,1,1,1,1,1,1,lumbridge
ShadowProxi,1038,6568,11976,4151,-1,1201,-1,4087,-1,11972,11840,-1,3215,3213,-1,556,70,62,55,64,1,19,22,40,61,1,44,38,24,1,15,13,9,12,1,1,1,1,1,lumbridge
TOOLAZY4LIFE,2613,4343,-1,11709,2607,2611,-1,2609,-1,2922,9005,-1,3205,3214,-1,0,1,1,1,1,1,1,50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,lumbridge
MortySmith1,6182,13679,21314,1275,6184,21695,-1,6185,-1,7595,9006,-1,3222,3219,-1,371,40,28,31,36,20,11,37,7,55,1,10,36,1,4,42,1,1,1,1,1,5,1,1,lumbridge
BlooVloo,-1,-1,-1,-1,-1,12954,-1,-1,-1,-1,4131,-1,3220,3219,-1,1248,71,63,74,77,82,43,63,36,81,79,58,50,55,48,54,18,52,40,66,24,25,71,18,lumbridge
1Bigbang1339,-1,-1,-1,1381,-1,-1,-1,-1,-1,-1,-1,-1,3226,3219,-1,1272,70,66,70,79,81,60,83,60,49,65,50,63,53,59,51,41,60,32,59,18,19,83,1,lumbridge
T R E B 0 L,23448,20834,-1,1275,12888,-1,-1,12889,-1,12895,12891,-1,3221,3217,-1,1641,91,83,86,90,88,70,85,60,70,91,65,52,70,70,65,58,65,55,80,57,69,83,38,lumbridge
lonewolf-007,-1,-1,1478,1325,581,1175,-1,1015,-1,-1,-1,-1,3234,3220,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,lumbridge
Cpt Coki,13615,13617,-1,-1,13619,-1,-1,13621,-1,13623,13625,-1,3231,3232,-1,1860,88,82,99,95,89,77,86,91,74,83,73,81,72,74,74,72,74,71,82,95,61,85,82,lumbridge
eduin cronos,-1,-1,-1,1359,-1,-1,-1,-1,-1,-1,-1,-1,3221,3217,-1,767,47,47,53,59,68,57,75,43,44,28,21,43,34,5,28,1,55,15,29,1,2,1,11,lumbridge
mithi1122,12013,-1,11970,1275,12014,-1,-1,12015,-1,-1,12016,-1,3221,3219,-1,458,40,26,30,30,1,1,41,53,36,1,53,1,31,13,80,1,1,14,1,1,1,1,1,lumbridge
bctotally,1949,1029,1478,1297,1005,1191,-1,-1,-1,1063,-1,-1,3221,3217,-1,263,19,16,18,24,18,19,26,29,18,1,22,22,7,1,13,1,1,1,1,1,3,1,1,lumbridge
Revireskis,1949,11852,-1,1381,-1,-1,-1,-1,-1,-1,-1,-1,3211,3215,-1,717,40,42,44,42,20,21,55,45,58,52,66,37,26,29,42,3,44,21,1,8,13,1,7,lumbridge
Scotty Watty,65023,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3223,3221,-1,1370,80,80,83,86,87,59,77,71,79,56,58,52,55,47,52,40,52,53,72,55,36,7,33,lumbridge
ProllyToking,10828,24223,19553,12006,11832,12954,-1,11834,-1,11133,13239,-1,3206,3209,-1,989,80,77,82,81,76,80,76,45,44,31,44,17,42,15,51,26,35,16,42,1,1,1,26,lumbridge
IllBeFine,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3222,3220,-1,2069,99,99,99,99,95,95,99,90,84,95,85,84,85,82,81,99,81,91,95,94,83,70,85,lumbridge
Y00N,-1,1007,-1,-1,1131,13660,-1,1097,-1,1063,1061,-1,3229,3219,-1,796,33,50,46,62,72,43,41,51,55,28,57,49,49,29,56,1,29,1,22,1,11,9,1,lumbridge
BrianRooz,9752,9750,6585,11808,3140,-1,-1,4087,-1,20041,11840,-1,3213,3210,-1,756,93,80,99,87,60,53,8,5,77,1,1,8,46,52,18,1,42,1,1,1,1,1,20,lumbridge
rhaegarPT,1169,13679,1731,851,1135,-1,-1,1099,-1,1065,1061,-1,3211,3221,-1,529,60,50,60,57,40,26,33,50,12,1,49,15,7,33,28,1,1,1,1,1,1,1,1,lumbridge
63wornrhino,-1,-1,552,-1,-1,-1,-1,-1,-1,-1,-1,-1,3233,3223,-1,111,2,1,1,10,1,9,1,7,12,1,6,11,3,1,37,1,1,1,1,1,1,1,1,lumbridge
MechaBlaze,2665,4385,1731,1333,2661,2667,-1,2663,-1,2912,23294,-1,3222,3220,-1,438,50,44,50,48,14,26,47,32,12,1,21,8,19,31,24,1,1,1,1,1,4,1,1,lumbridge
SamuraiBPT,1153,-1,1725,1331,1115,-1,-1,1067,-1,-1,-1,-1,3220,3219,-1,177,33,1,40,39,43,1,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,lumbridge
New tings,1153,4365,1725,1331,1115,1191,-1,1099,-1,1065,-1,-1,3234,3223,-1,170,30,1,40,38,43,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,lumbridge
Cyaneight,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3219,3219,-1,192,39,1,1,32,2,1,35,10,2,1,6,3,1,1,49,1,1,1,1,1,1,1,1,lumbridge
AreS Sistems,1163,-1,1478,1333,1135,1540,-1,1099,-1,1065,1061,-1,3206,3210,-1,626,50,50,50,52,40,27,68,7,50,1,10,54,70,29,60,1,1,1,1,1,1,1,1,lumbridge
KeVulki,1165,1019,-1,1329,1125,7344,-1,1077,-1,1059,-1,-1,3220,3218,-1,242,27,20,14,24,4,16,5,21,14,1,8,17,2,24,37,1,1,1,1,1,1,1,1,lumbridge
hijotheking,2619,1027,-1,1333,-1,2621,-1,2617,-1,1065,-1,-1,3206,3208,-1,673,67,70,65,69,61,43,49,53,31,1,20,30,43,30,33,1,1,1,1,1,1,1,1,lumbridge
evyDiggett,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3221,3218,-1,97,1,1,1,10,1,1,1,4,13,1,49,1,3,1,1,1,1,1,1,1,1,1,1,lumbridge
CR1ST14N,1163,1027,1725,1381,1113,1201,-1,1079,-1,2922,11019,-1,3208,3211,-1,462,41,40,41,44,40,14,39,41,25,1,41,21,3,30,33,1,1,1,1,1,1,1,1,lumbridge
4dh8r69,1169,-1,1478,849,-1,-1,-1,-1,-1,-1,-1,-1,3234,3219,-1,252,20,24,20,25,5,19,29,18,2,1,10,3,1,15,33,1,1,1,1,1,20,1,1,lumbridge
Alynesdean B,1153,-1,1009,1293,1101,1191,-1,1075,-1,-1,1061,-1,3214,3213,-1,198,12,12,12,16,1,13,1,19,12,1,8,14,3,29,37,1,1,1,1,1,1,1,1,lumbridge
OSRSMighty,5529,1007,1731,1381,-1,-1,-1,-1,-1,1059,1061,-1,3215,3214,-1,650,46,45,46,49,50,34,37,43,41,1,40,40,32,52,58,1,1,1,1,1,29,1,1,lumbridge
NagaGeni,11850,11852,11107,6739,11854,-1,-1,11856,-1,11858,11860,-1,3225,3221,-1,1499,76,78,78,92,98,70,86,69,76,50,70,60,59,52,61,58,76,53,61,54,43,29,50,lumbridge
Stoneikov347,-1,-1,-1,1361,-1,-1,-1,-1,-1,-1,-1,-1,3230,3227,-1,138,16,1,16,16,1,1,1,10,27,1,6,31,1,1,1,1,1,1,1,1,1,1,1,lumbridge
PECHERON XP2,1163,-1,1706,4151,1113,-1,-1,1079,-1,11126,-1,-1,3221,3217,-1,273,70,60,60,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,lumbridge
bagdaljj,1141,-1,1009,1297,1105,1193,-1,1083,-1,-1,-1,-1,3215,3212,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,lumbridge
Kalo Garloc,1169,-1,1731,853,1115,-1,-1,1099,-1,1065,1061,-1,3215,3220,-1,305,30,1,46,44,48,1,37,36,5,1,40,5,1,1,1,1,1,1,1,1,1,1,1,lumbridge
Gabrielx,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3206,3228,-1,157,20,10,20,20,1,1,8,4,46,1,1,1,5,1,10,1,1,1,1,1,1,1,1,lumbridge
Anders ma ho,1161,4397,1725,1333,1123,1199,-1,1073,-1,2912,1061,-1,3221,3219,-1,354,40,30,47,44,1,18,48,5,20,1,6,10,21,31,24,1,1,1,1,1,1,1,1,lumbridge
AidynSpade,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3232,3227,-1,101,1,1,1,10,1,1,1,4,13,1,53,1,3,1,1,1,1,1,1,1,1,1,1,lumbridge
Lessragepls,1161,1023,1725,1331,1123,1199,-1,1073,-1,2922,9005,-1,3221,3219,-1,323,30,36,36,26,1,17,13,32,6,1,1,9,8,48,51,1,1,1,1,1,1,1,1,lumbridge
dikbigyaknow,20792,-1,1478,1207,20794,-1,-1,20796,-1,-1,-1,-1,3220,3218,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,lumbridge
TATIANA11-3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3222,3221,-1,571,26,27,25,47,55,30,44,59,43,1,48,42,32,38,46,1,1,1,1,1,1,1,1,lumbridge
LoopyLyre,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3230,3230,-1,776,45,47,45,49,34,35,64,51,71,1,47,60,56,52,27,10,34,14,22,1,9,1,1,lumbridge
Karodise,1161,-1,-1,1333,1123,1199,-1,1073,-1,-1,9005,-1,3206,3228,-1,291,40,40,45,42,1,4,1,4,50,1,1,19,8,12,15,1,1,1,1,1,1,1,1,lumbridge
PvM Andrew,11021,-1,3853,-1,11020,-1,-1,11022,-1,-1,11019,-1,3222,3218,-1,549,20,28,20,24,1,26,10,62,60,1,60,56,50,29,55,10,19,1,1,9,4,1,2,lumbridge
K 86,20059,9781,-1,23282,20199,-1,-1,20202,-1,11858,6666,-1,3222,3219,-1,1872,77,86,90,94,99,88,99,99,71,71,99,73,99,85,66,78,66,52,84,99,46,68,83,lumbridge
Tired Eyes,9806,9804,1708,772,10400,7053,-1,10402,-1,11972,7114,-1,3206,3208,-1,886,60,51,63,59,41,47,42,52,67,37,22,99,36,29,23,13,38,26,34,3,4,4,36,lumbridge
CowFarmerDab,10296,13679,10364,1353,1123,13660,-1,1073,-1,1063,1061,-1,3221,3217,-1,512,41,35,40,39,12,33,30,37,30,1,43,34,38,46,26,1,1,1,1,1,20,1,1,lumbridge
Meter flatty,5537,-1,-1,772,-1,-1,-1,-1,-1,775,-1,-1,3206,3208,-1,1438,75,71,76,77,75,70,71,86,74,90,78,99,63,48,47,45,40,35,68,31,39,33,47,lumbridge
kinq Kronik,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3213,3211,-1,1314,60,1,99,97,99,52,99,14,68,61,64,50,63,79,71,58,74,53,79,1,1,1,70,lumbridge
Fireruby1908,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3229,3233,-1,113,1,1,1,10,1,1,1,4,1,1,69,1,1,1,11,1,1,1,1,1,1,1,1,lumbridge
Darkforce671,11850,11852,-1,-1,11854,-1,-1,11856,-1,11858,11860,-1,3221,3219,-1,966,50,50,55,55,55,43,50,46,68,21,45,99,40,38,36,22,58,34,37,17,1,9,37,lumbridge
Zaden,12231,6568,6585,11037,1101,12233,-1,12387,-1,11133,3105,-1,3221,3219,-1,0,1,1,75,64,90,1,90,1,1,1,1,1,1,1,1,1,1,1,18,1,1,1,1,lumbridge
MythRiffter,-1,-1,3857,1359,10822,-1,-1,10824,-1,20712,-1,-1,3207,3213,-1,831,41,40,58,39,4,13,37,57,84,71,85,66,50,27,40,1,57,45,1,12,1,1,1,lumbridge
Jeopardizes,1044,1027,1478,853,7362,-1,-1,7378,-1,1065,-1,-1,3222,3219,-1,643,40,25,45,49,52,33,45,50,50,1,50,50,45,50,50,1,1,1,1,1,1,1,1,lumbridge
shining_1,-1,-1,7803,-1,581,-1,-1,6655,-1,12895,3061,-1,3206,3208,-1,381,10,30,11,31,35,22,25,52,80,1,67,4,1,1,3,1,1,1,1,1,1,1,1,lumbridge
JaedynHeight,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3222,3218,-1,103,1,1,1,10,1,1,1,4,13,1,55,1,3,1,1,1,1,1,1,1,1,1,1,lumbridge
StinkyRat7,-1,1019,1478,1287,-1,-1,-1,-1,-1,-1,-1,-1,3221,3218,-1,476,33,35,37,32,21,20,37,42,27,1,40,30,40,35,38,1,1,1,1,1,1,1,1,lumbridge
1Azagor1,1163,1007,1731,1381,1005,1201,-1,1079,-1,1065,1061,-1,3221,3218,-1,596,50,55,51,53,42,27,42,35,49,1,30,45,42,30,33,1,1,1,1,1,4,1,1,lumbridge
Sudo Tesuji,579,-1,552,1279,3058,-1,-1,6181,-1,1059,3061,-1,3215,3219,-1,299,1,28,1,20,1,27,1,41,60,1,28,60,3,1,18,1,1,1,1,1,1,1,1,lumbridge
xusKipper,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3220,3218,-1,100,1,1,1,10,1,1,1,4,13,1,52,1,3,1,1,1,1,1,1,1,1,1,1,lumbridge
Distortd,-1,23410,21314,1387,-1,20166,-1,-1,-1,2922,-1,-1,3223,3218,-1,147,20,1,1,10,1,1,59,21,4,1,1,1,16,1,1,1,1,1,1,1,1,1,1,lumbridge
tekuila5,1017,1019,1727,1387,577,1173,-1,1095,-1,-1,1061,-1,3222,3219,-1,170,6,13,7,18,1,7,25,8,9,1,1,12,3,8,30,1,1,1,1,1,14,1,1,lumbridge
LinconusRidg,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3222,3216,-1,103,1,1,1,10,1,1,1,4,13,1,55,1,3,1,1,1,1,1,1,1,1,1,1,lumbridge
CycliCynic,-1,-1,-1,-1,-1,-1,-1,-1,-1,6149,-1,-1,3222,3216,-1,440,40,40,41,41,40,23,1,15,21,34,10,23,7,29,21,1,20,20,1,1,9,1,1,lumbridge
bartzyplz,1161,4315,1725,1331,1123,1199,-1,1073,-1,2912,1061,-1,3222,3218,-1,373,30,32,30,33,20,20,32,43,22,1,23,21,1,24,33,1,1,1,1,1,1,1,1,lumbridge
M0niT0,1169,4325,1731,853,1135,-1,-1,1099,-1,1065,1061,-1,3222,3218,-1,1216,71,70,70,78,82,57,71,70,72,61,70,70,71,71,85,1,70,5,24,1,44,1,1,lumbridge
Swift Clix,20708,-1,-1,20720,20704,-1,-1,20706,-1,11858,-1,-1,3221,3219,-1,0,1,1,1,1,1,1,1,1,53,44,1,81,1,1,1,7,40,25,1,1,1,1,50,lumbridge
Wyld Brute,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3221,3219,-1,269,10,1,16,15,1,7,1,18,33,1,11,34,37,35,41,1,1,1,1,1,1,1,1,lumbridge
MOMENTOC,-1,-1,-1,-1,22351,-1,-1,22353,-1,-1,-1,-1,3220,3219,-1,506,40,41,37,44,41,38,54,32,35,1,10,40,27,30,28,1,1,1,1,1,1,1,1,lumbridge
BPRGGZ,-1,-1,1731,-1,-1,-1,-1,-1,-1,-1,-1,-1,3230,3227,-1,260,1,28,1,33,41,11,3,4,69,1,54,1,3,1,1,1,1,1,1,1,1,1,1,lumbridge
Spagly92,1159,1019,552,1331,1109,1197,-1,1071,-1,1059,1061,-1,3223,3218,-1,285,30,27,30,30,1,17,37,18,32,1,14,35,3,1,1,1,1,1,1,1,1,1,1,lumbridge
AdanniusBill,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3221,3217,-1,101,1,1,1,10,1,1,1,4,13,1,53,1,3,1,1,1,1,1,1,1,1,1,1,lumbridge
Sir Alxx,12466,1007,1731,1303,2607,7360,-1,2609,-1,1059,1061,-1,3222,3217,-1,358,53,48,55,52,1,30,8,30,19,1,1,21,1,5,25,1,1,1,1,1,1,1,1,lumbridge
pakemo,-1,23099,-1,-1,-1,-1,-1,-1,-1,23091,23291,-1,3220,3218,-1,630,40,40,40,45,40,40,41,45,40,1,40,40,60,40,46,1,1,1,1,1,25,1,1,lumbridge
KezorDestroy,-1,-1,-1,1353,-1,-1,-1,-1,-1,-1,-1,-1,3221,3219,-1,458,40,44,46,46,42,26,46,36,8,1,50,8,43,1,13,1,1,1,1,1,1,1,1,lumbridge
santiago-bra,1139,13679,-1,11709,1117,1189,-1,1075,-1,1065,-1,-1,3209,3205,-1,357,33,40,47,44,40,1,15,23,59,1,41,2,1,1,1,1,1,1,1,1,1,1,1,lumbridge
Jephnurs,1161,4325,1725,1331,1123,1199,-1,1091,-1,13665,1061,-1,3220,3219,-1,334,32,30,30,32,17,9,28,18,13,1,7,15,5,31,41,1,1,1,1,1,18,1,1,lumbridge
Willbyd,1141,1019,-1,1297,1119,1193,-1,1069,-1,1059,1061,-1,3235,3204,-1,207,15,16,15,20,10,10,23,16,6,1,6,7,3,30,20,1,1,1,1,1,2,1,1,lumbridge
X-laraX,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3221,3220,-1,291,30,21,16,27,21,13,6,18,23,1,1,15,18,33,40,1,1,1,1,1,1,1,1,lumbridge
Timm246,1155,-1,1009,1323,1103,1189,-1,-1,-1,-1,-1,-1,3222,3219,-1,166,2,5,13,13,1,8,2,9,31,1,6,33,1,14,19,1,1,1,1,1,1,1,1,lumbridge
XiaoNiMa,11850,11852,1710,13243,11854,-1,-1,11856,-1,11858,11860,-1,3221,3219,-1,2164,99,99,99,99,99,98,99,99,99,90,99,97,99,85,93,90,82,94,99,88,93,82,83,lumbridge
Cosmi2000,1038,6568,6585,4151,12277,12281,-1,12279,-1,2932,11840,-1,3224,3218,-1,532,70,70,70,69,1,43,28,15,36,16,18,1,35,1,1,1,30,14,9,1,1,1,1,lumbridge
Teskii,1161,-1,1731,1331,1123,-1,-1,1073,-1,1059,1061,-1,3221,3218,-1,298,33,34,33,33,10,31,14,29,4,1,2,8,9,29,20,1,1,1,1,1,1,1,1,lumbridge
feltnizzle,1159,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3222,3218,-1,326,26,20,20,26,20,19,26,37,3,1,35,4,6,35,40,1,1,1,1,1,1,1,1,lumbridge
Sonuv Arts,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3222,3218,-1,1075,60,60,66,65,64,52,60,66,65,76,63,61,59,47,57,1,52,18,44,7,30,1,1,lumbridge
ferchoka4,-1,1027,1725,849,-1,-1,-1,-1,-1,2922,1061,-1,3234,3221,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,lumbridge
sirtumness,1163,4371,1725,1333,1111,1201,-1,1079,-1,12895,12896,-1,3222,3218,-1,363,40,40,40,40,5,28,34,19,22,1,4,26,3,30,23,1,1,1,1,1,1,1,1,lumbridge
